Wall time,Step,Value
1633537325.1418183,234,0.9347000122070312
1633537466.0519025,235,0.9325000047683716
1633537606.9233837,236,0.9323999881744385
1633537747.8475842,237,0.9341999888420105
1633537888.8490012,238,0.9333000183105469
1633538029.979346,239,0.9323999881744385
1633538170.9357188,240,0.9336000084877014
1633538312.034244,241,0.9336000084877014
1633538452.978731,242,0.9344000220298767
1633538594.122742,243,0.9330000281333923
1633538735.3188047,244,0.9337999820709229
1633538876.0602558,245,0.9347000122070312
1633539017.1366978,246,0.9348000288009644
1633539158.2291398,247,0.9351000189781189
1633539299.8087065,248,0.9355999827384949
1633539441.0593956,249,0.9347000122070312
